epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
53,1913.92,0.41772,0.96006,0.16669,0.17401,0.0096,3.51866,0.98349,1,0.9937,0.92247,0.98349,1,0.99023,0.89106,0.43637,0.68342,0.20226,0.17421,0.01985,0,0.0009704,0.0009704,0.0009704
54,1949.93,0.44777,0.98567,0.17276,0.16506,0.01049,3.55434,0.99424,1,0.99278,0.88702,0.99424,1,0.99051,0.89149,0.53732,0.69473,0.19052,0.18336,0.02474,0,0.0009506,0.0009506,0.0009506
55,1985.83,0.4353,0.90449,0.16882,0.17279,0.00978,3.41586,0.98993,0.99822,0.99119,0.92536,0.98993,0.99822,0.99475,0.89652,0.42961,0.68681,0.15703,0.16599,0.01943,0,0.0009308,0.0009308,0.0009308
56,2022.54,0.42175,0.93771,0.16677,0.17568,0.00923,3.36435,0.98994,0.99918,0.99408,0.89845,0.98994,0.99918,0.98936,0.89006,0.51238,0.69941,0.22943,0.18631,0.0234,0,0.000911,0.000911,0.000911
57,2058.41,0.42417,0.88734,0.17026,0.17084,0.00941,3.40058,0.98989,0.99409,0.99371,0.92288,0.98989,0.99409,0.99024,0.89182,0.43859,0.69665,0.21286,0.17377,0.01984,0,0.0008912,0.0008912,0.0008912
58,2094.14,0.42782,0.89548,0.15676,0.16482,0.00945,3.25354,0.98994,0.99947,0.98856,0.91269,0.98994,0.99947,0.98984,0.88445,0.43301,0.677,0.1622,0.17741,0.01962,0,0.0008714,0.0008714,0.0008714
59,2130.56,0.4273,0.88166,0.16552,0.16785,0.00982,3.16033,0.98412,0.99492,0.98982,0.8942,0.98412,0.99492,0.99207,0.89421,0.48164,0.66481,0.17414,0.19138,0.02223,0,0.0008516,0.0008516,0.0008516
60,2166.74,0.42635,0.90041,0.16413,0.16222,0.00964,3.29111,0.9899,0.99463,0.99106,0.91746,0.9899,0.99463,0.99042,0.87654,0.42483,0.68278,0.18142,0.18545,0.01919,0,0.0008318,0.0008318,0.0008318
61,2203.73,0.43631,0.86527,0.17222,0.16669,0.0098,3.20658,0.98009,0.99938,0.99069,0.90641,0.98009,0.99938,0.98778,0.8864,0.45793,0.66253,0.15727,0.18851,0.02079,0,0.000812,0.000812,0.000812
62,2240.22,0.4302,0.83899,0.16266,0.16644,0.0094,3.14888,0.9819,0.98985,0.99238,0.91952,0.97408,1,0.98481,0.8771,0.42808,0.698,0.17902,0.16866,0.0194,0,0.0007922,0.0007922,0.0007922
63,2275.36,0.41071,0.89224,0.16371,0.17038,0.00888,3.2342,0.98924,1,0.98986,0.9193,0.98924,1,0.98948,0.88822,0.42455,0.6834,0.21885,0.16716,0.01929,0,0.0007724,0.0007724,0.0007724
64,2310.8,0.40648,0.8757,0.16913,0.16391,0.00901,3.12683,0.9841,0.99492,0.99005,0.92669,0.9841,0.99492,0.98904,0.88739,0.42015,0.67793,0.14664,0.18443,0.01902,0,0.0007526,0.0007526,0.0007526
65,2346.76,0.40948,0.80805,0.16206,0.17025,0.00912,3.03654,0.98499,0.99953,0.98753,0.92675,0.98499,0.99953,0.98753,0.89496,0.4152,0.66709,0.18819,0.17661,0.01877,0,0.0007328,0.0007328,0.0007328
