epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
58,2275.05,0.45654,0.86912,0.15965,0.17661,0.0102,3.17542,0.99492,0.99974,0.99454,0.90591,0.99492,0.99974,0.99419,0.88804,0.49218,0.60707,0.14388,0.16133,0.02252,0,0.0008714,0.0008714,0.0008714
59,2314.68,0.45387,0.90445,0.16423,0.17676,0.00999,3.1915,0.98766,0.9898,0.99351,0.91166,0.99275,0.9949,0.99495,0.87977,0.47002,0.6201,0.13566,0.18642,0.02111,0,0.0008516,0.0008516,0.0008516
60,2354.94,0.44981,0.85943,0.1694,0.16864,0.01018,3.12152,0.98984,0.99396,0.99407,0.90929,0.98984,0.99396,0.99485,0.89849,0.43865,0.62003,0.18124,0.17386,0.02014,0,0.0008318,0.0008318,0.0008318
61,2394.94,0.43614,0.84122,0.16307,0.17118,0.00975,2.96922,0.98871,0.9949,0.99407,0.89852,0.98871,0.9949,0.9899,0.86866,0.48984,0.64583,0.14545,0.18757,0.02242,0,0.000812,0.000812,0.000812
62,2434.27,0.44397,0.87731,0.16083,0.17092,0.01004,3.02495,0.97978,0.98908,0.99333,0.916,0.97978,0.98908,0.99194,0.88454,0.43268,0.62495,0.14858,0.17874,0.01979,0,0.0007922,0.0007922,0.0007922
63,2473.98,0.42208,0.85592,0.16772,0.16801,0.0092,2.93455,0.98359,1,0.99449,0.92046,0.98359,1,0.98962,0.87605,0.42606,0.62438,0.1495,0.16626,0.01952,0,0.0007724,0.0007724,0.0007724
64,2512.3,0.40566,0.90484,0.15961,0.17054,0.00887,3.03465,0.99312,0.9949,0.99337,0.91991,0.99312,0.9949,0.99015,0.87241,0.42168,0.63318,0.14202,0.16708,0.01916,0,0.0007526,0.0007526,0.0007526
65,2550.31,0.41583,0.83852,0.16148,0.16697,0.0096,2.94166,0.98953,1,0.9928,0.92448,0.98953,1,0.98985,0.87268,0.41177,0.64911,0.14307,0.16885,0.01867,0,0.0007328,0.0007328,0.0007328
66,2587.87,0.40297,0.84871,0.15249,0.15924,0.00911,2.87163,0.98398,1,0.99355,0.90596,0.98398,1,0.98998,0.87641,0.47309,0.64017,0.1485,0.18488,0.02141,0,0.000713,0.000713,0.000713
67,2627.08,0.42909,0.74906,0.15405,0.1672,0.00946,2.70926,0.99375,0.98469,0.99232,0.90279,0.99375,0.98469,0.99001,0.87141,0.47313,0.64794,0.14205,0.17834,0.02148,0,0.0006932,0.0006932,0.0006932
